,D,DevE2R,DevR2E,DevtE2R,DevtR2E,HitRate_0.5F,HitRate_0.5P,HitRate_0.5R,HitRate_3F,HitRate_3P,HitRate_3R,HitRate_t0.5F,HitRate_t0.5P,HitRate_t0.5R,HitRate_t3F,HitRate_t3P,HitRate_t3R,HitRate_w0.5F,HitRate_w3F,HitRate_wt0.5F,HitRate_wt3F,PWF,PWP,PWR,Sf,So,Su,ds_name,track_id
823,0.6550228972107824,0.9500000000000028,2.6500000000000004,11.3,9.699999999999998,0.375,0.375,0.375,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.375,0.5,0.33333333333333337,0.33333333333333337,0.4981273700472839,0.4748284376921399,0.52383075324107,0.5898399333920185,0.6090823034806861,0.5717761539976356,0902,0902_shakeitradiomix
824,0.5832766800551464,1.3500000000000156,1.3500000000000156,1.70000000000001,1.3500000000000156,0.1818181818181818,0.16666666666666666,0.2,0.6363636363636365,0.5833333333333334,0.7,0.11111111111111112,0.1,0.125,0.6666666666666665,0.6,0.75,0.17396511325175737,0.6088778963811508,0.10530131114473021,0.6318078668683813,0.6505209714873398,0.6207662964558345,0.683271664377502,0.6568268624104774,0.6833650480222433,0.6322728212910792,0903,0903_shakethatbubblenow
825,0.5660273828745788,0.8999999999999986,1.0,1.7000000000000028,1.0,0.2608695652173913,0.25,0.2727272727272727,0.6956521739130435,0.6666666666666666,0.7272727272727273,0.2105263157894737,0.2,0.2222222222222222,0.631578947368421,0.6,0.6666666666666666,0.2553565514254414,0.6809508038011771,0.2051644201541343,0.6154932604624028,0.4507995302300683,0.39671122989164015,0.5219651711733123,0.555666018366786,0.6096465643657569,0.5104672092825279,0904,0904_shewolf
826,0.5711877115241565,1.2000000000000028,8.200000000000003,1.2000000000000028,8.200000000000003,0.1,0.125,0.08333333333333333,0.5,0.625,0.4166666666666667,0.0,0.0,0.0,0.5,0.6666666666666666,0.4,0.11102618636182375,0.5551309318091188,0.0,0.5708671507902606,0.42653274434869,0.3739702055880696,0.49628728421017365,0.4885633763932645,0.5443670826065073,0.4431368950804797,0905,0905_shocktoyoursystem
827,0.5999868966455678,4.700000000000001,7.2,9.550000000000011,7.300000000000011,0.1904761904761905,0.16666666666666666,0.2222222222222222,0.380952380952381,0.3333333333333333,0.4444444444444444,0.11764705882352941,0.1,0.14285714285714285,0.23529411764705882,0.2,0.2857142857142857,0.1778594053608028,0.3557188107216056,0.108168485123191,0.216336970246382,0.5081342795976068,0.5241688628947969,0.4930515890116793,0.5649278900288423,0.5507364649022001,0.5798700314316404,0906,0906_shutupanddrive
828,0.6236613424117626,2.75,3.900000000000002,3.900000000000002,3.900000000000002,0.125,0.125,0.125,0.375,0.375,0.375,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.125,0.375,0.0,0.33333333333333337,0.5103162443189644,0.5710756100967582,0.4612425264419056,0.5571812224016627,0.5149466492555352,0.6069627115627843,0907,0907_skyscraper
829,0.5223817198902911,1.2000000000000028,1.200000000000001,1.5999999999999943,1.2000000000000028,0.1935483870967742,0.17647058823529413,0.21428571428571427,0.6451612903225806,0.5882352941176471,0.7142857142857143,0.14814814814814814,0.13333333333333333,0.16666666666666666,0.5925925925925926,0.5333333333333333,0.6666666666666666,0.18467406124479493,0.6155802041493165,0.1404017481929736,0.5616069927718944,0.4558463259632954,0.4840368742830844,0.4307587236378152,0.5044456917764348,0.4706319252802842,0.5434944549487254,0908,0908_sober
830,0.5295766780147033,1.6499999999999915,1.5,2.699999999999994,1.799999999999983,0.13793103448275862,0.125,0.15384615384615385,0.6896551724137931,0.625,0.7692307692307693,0.0,0.0,0.0,0.64,0.5714285714285714,0.7272727272727273,0.13119195806255277,0.655959790312764,0.0,0.6040089489503062,0.5328628585014629,0.9400250939646702,0.3718150012929858,0.5715348582136796,0.4222503925250578,0.8841060165252322,0909,0909_sofineed
831,0.5816771095230489,1.799999999999983,1.2999999999999972,13.0,1.799999999999983,0.27272727272727276,0.23076923076923078,0.3333333333333333,0.6363636363636364,0.5384615384615384,0.7777777777777778,0.2222222222222222,0.18181818181818182,0.2857142857142857,0.5555555555555556,0.45454545454545453,0.7142857142857143,0.2501435024582595,0.5836681724026055,0.20013777817713482,0.5003444454428371,0.6061525913528102,0.564561267603713,0.6543593553639316,0.584627411786911,0.6254683765958466,0.5487930836942132,0910,0910_solo
832,0.5600738336466253,0.5499999999999936,0.6999999999999886,0.5499999999999936,0.6999999999999886,0.4827586206896552,0.5,0.4666666666666667,0.7586206896551724,0.7857142857142857,0.7333333333333333,0.48000000000000004,0.5,0.46153846153846156,0.8,0.8333333333333334,0.7692307692307693,0.49116874934369426,0.7718366061115196,0.4897271150416534,0.8162118584027558,0.49786656432515175,0.502812624338576,0.49301686311527054,0.5712305284017013,0.5771479206789438,0.5654332445602884,0911,0911_someday
833,0.49821512321568356,1.7499999999999858,7.850000000000005,2.249999999999993,7.850000000000005,0.21428571428571427,0.25,0.1875,0.5,0.5833333333333334,0.4375,0.16666666666666666,0.2,0.14285714285714285,0.5,0.6,0.42857142857142855,0.2306470913107511,0.5381765463917526,0.18170446511121988,0.5451133953336597,0.3453746363496944,0.3244033730536915,0.3692446955877714,0.41644185638056913,0.43721186922812705,0.39755573217826745,0912,0912_somenights
834,0.5403026083468738,4.100000000000023,2.1000000000000085,10.199999999999996,3.0,0.2608695652173913,0.21428571428571427,0.3333333333333333,0.5217391304347826,0.42857142857142855,0.6666666666666666,0.10526315789473685,0.08333333333333333,0.14285714285714285,0.4210526315789474,0.3333333333333333,0.5714285714285714,0.23545302919965236,0.4709060583993047,0.09309777914007858,0.3723911165603143,0.5058142075608701,0.7667014944172269,0.3773965966753144,0.5411106928913586,0.4418478116658695,0.6978957749709231,0913,0913_somuchlove
835,0.6083659238943623,2.3999999999999986,4.299999999999997,4.299999999999997,4.299999999999997,0.380952380952381,0.4,0.36363636363636365,0.380952380952381,0.4,0.36363636363636365,0.35294117647058826,0.375,0.3333333333333333,0.35294117647058826,0.375,0.3333333333333333,0.3901783889521474,0.3901783889521474,0.3635605208748957,0.3635605208748957,0.540993672032053,0.40112858696849524,0.8306098082543303,0.649029875789652,0.8335387868450229,0.5314010103923572,0914,0914_soobviousnow
836,0.5816771095230489,0.5,1.5999999999999943,1.5999999999999943,2.6999999999999886,0.41666666666666663,0.45454545454545453,0.38461538461538464,0.6666666666666667,0.7272727272727273,0.6153846153846154,0.3,0.3333333333333333,0.2727272727272727,0.6,0.6666666666666666,0.5454545454545454,0.4346525121640258,0.6954440194624412,0.3156750968473434,0.6313501936946868,0.8510491453882931,0.7692777745818072,0.9522721374359884,0.8039927003526008,0.8798322888441443,0.7401899695294061,0915,0915_sosletthemusicplay
837,0.6023448934339364,0.9000000000000057,1.3000000000000114,1.4000000000000057,1.4000000000000057,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.33333333333333337,0.7777777777777778,0.2857142857142857,0.7142857142857143,0.6506618654863418,0.7041450689719216,0.6047297346285074,0.6890185804652689,0.674079908017683,0.7046343883201192,0916,0916_sowhat
838,0.440686590283076,2.8999999999999915,0.7000000000000028,12.600000000000009,0.8000000000000114,0.29268292682926833,0.2222222222222222,0.42857142857142855,0.6341463414634146,0.48148148148148145,0.9285714285714286,0.21621621621621623,0.16,0.3333333333333333,0.5945945945945945,0.44,0.9166666666666666,0.252869793374877,0.5478845523122335,0.18409742120343842,0.5062679083094556,0.45980841370390935,0.42839885682927953,0.49618818142892396,0.5298270770574126,0.5579636517504094,0.5043919749103609,0917,0917_spacemanties
839,0.5832766800551465,1.250000000000007,1.6000000000000085,3.0500000000000025,2.1999999999999993,0.2105263157894737,0.2,0.2222222222222222,0.631578947368421,0.6,0.6666666666666666,0.0,0.0,0.0,0.5333333333333333,0.5,0.5714285714285714,0.2051644201541343,0.6154932604624028,0.0,0.5162436744311817,0.7538302636086209,0.7701374565874041,0.738199340836505,0.7693908834870503,0.7781149393723201,0.7608602830648372,0918,0918_starstrukk
840,0.5098953459681936,0.6000000000000227,0.700000000000017,1.0999999999999943,1.0999999999999943,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.33333333333333337,0.7333333333333333,0.23076923076923078,0.6923076923076923,0.4560805356051887,0.6762558344782407,0.34406114616068745,0.5369617118659303,0.439784782922895,0.6892649632741525,0919,0919_stereolove
